name,n.obs,total.acc
Tuesday Lake,134,100
Tuesday Lake,134,100
Tuesday Lake,114,99.4413407821229
Tuesday Lake,114,100
Tuesday Lake,118,100
Tuesday Lake,118,99.4413407821229
Tuesday Lake,110,100
Tuesday Lake,110,99.4413407821229
Tuesday Lake,41,99.4413407821229
Tuesday Lake,41,99.4413407821229
Tuesday Lake,10,96.6480446927374
Tuesday Lake,10,96.6480446927374
Skipwith Pond,185,99.4594594594595
Skipwith Pond,85,99.4594594594595
Skipwith Pond,85,99.4594594594595
Skipwith Pond,112,99.4594594594595
Skipwith Pond,112,99.4594594594595
Skipwith Pond,5,76.2162162162162
Skipwith Pond,5,75.1351351351351
Skipwith Pond,163,99.4594594594595
Skipwith Pond,163,99.4594594594595
Skipwith Pond,2,95.1351351351351
Skipwith Pond,2,76.2162162162162
Skipwith Pond,164,99.4594594594595
Skipwith Pond,164,99.4594594594595
Skipwith Pond,43,99.4594594594595
Skipwith Pond,43,99.4594594594595
Skipwith Pond,135,99.4594594594595
Skipwith Pond,135,99.4594594594595
Skipwith Pond,8,96.2162162162162
Skipwith Pond,8,95.6756756756757
Skipwith Pond,46,98.3783783783784
Skipwith Pond,46,99.4594594594595
Skipwith Pond,52,99.4594594594595
Skipwith Pond,52,99.4594594594595
Skipwith Pond,118,99.4594594594595
Skipwith Pond,118,99.4594594594595
Skipwith Pond,44,98.3783783783784
Skipwith Pond,44,99.4594594594595
Skipwith Pond,12,95.1351351351351
Skipwith Pond,12,98.3783783783784
Skipwith Pond,115,99.4594594594595
Skipwith Pond,115,99.4594594594595
Skipwith Pond,101,99.4594594594595
Skipwith Pond,101,99.4594594594595
Skipwith Pond,105,99.4594594594595
Skipwith Pond,105,99.4594594594595
Skipwith Pond,153,99.4594594594595
Skipwith Pond,153,99.4594594594595
Skipwith Pond,107,99.4594594594595
Skipwith Pond,107,99.4594594594595
Skipwith Pond,149,99.4594594594595
Skipwith Pond,149,99.4594594594595
Lochnagar,18,100
Lochnagar,1,38.8888888888889
