Taxon,Trophic level,Mass (log10 kg),Prey mass (log10 kg),Predator Prey ratio (log10),Diet,Niche,Environment,Predator Diet Source,Predator Body Mass Source,Prey mass Source,Niche Source
Vulpes_lagopus,3.0,0.7,-1.4,2.1,Carnivore,Mammal,Terrestrial,Munoz-Garcia et al. 2005,Kelt & van Vuren 2001,"Haim et al. 2004, Elmhagen et al. 2000",Munoz-Garcia et al. 2005
Vulpes_macrotis,3.0,0.7,-0.2,0.8,Carnivore,Mammal,Terrestrial,"Munoz-Garcia et al. 2005, List et al. 2003",Kelt & van Vuren 2001,Carbone 2007,Carbone 2007
Vulpes_ruepellii,2.9,0.2,-1.6,1.8,Carnivore,Mammal,Terrestrial,"Munoz-Garcia et al. 2005, Williams et al. 2002.",Carbone et al. 2007,"Scott et al. 2000, Reichle et al. 1968, ",Munoz-Garcia et al. 2005
Vulpes_velox,2.9,0.3,0.1,0.2,Carnivore,Mammal,Terrestrial,Sovada et al. 2001,Carbone et al. 2007,Carbone 2007,Carbone 2007
Vulpes_vulpes,3.0,0.7,-0.3,1.0,Carnivore,Mammal,Terrestrial,Jedrzejewski et al. 1992,Carbone et al. 2008,Carbone 2007,Carbone 2007
Dugong_dugon,2.0,2.3,-,-,Herbivore,Grazer,Marine,-,Sheppard et al. 2006,-,Johnstone et al. 1981
Hydrodamalis_gigas,2.0,4.3,-,-,Herbivore,Grazer,Marine,-,Scheffer 1972,-,Domning et al. 2008
Trichechus_inunguis,2.0,2.3,-,-,Herbivore,Grazer,Marine,-,Rodrigo et al. 2010,-,Cantanhede et al. 2005
Trichechus_manatus,2.0,2.5,-,-,Herbivore,Grazer,Marine,-,Kipps et al. 2002,-,Deutsch et al. 2008
Trichechus_senegalensis,2.0,2.6,-,-,Herbivore,Grazer,Marine,-,Thibault et al. 2003,-,Powell & Kouadio 2008
Aepyceros_melampus,2.0,1.8,-,-,Herbivore,Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,Dunham et al. 1980
Ailuropoda_melanoleuca,2.0,1.9,-,-,Herbivore,Browser,Terrestrial,-,Kelt & van Vuren 2001,-,Carter et al. 1999
Ailurus_fulgens,2.0,0.7,-,-,Herbivore,Browser,Terrestrial,-,Kelt & van Vuren 2001,-,Munoz-Garcia et al. 2005
Alcelaphus_buselaphus,2.0,2.1,-,-,Herbivore,Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,"Price, 1978"
Alces_alces,2.0,2.5,-,-,Herbivore,Browser,Terrestrial,-,Kelt & van Vuren 2001,-,"Irwin, 1985"
Ammotragus_lervia,2.0,2.2,-,-,Herbivore,Browser-grazer,Terrestrial,-,Kelt & van Vuren 2001,-,Popowics et al. 1997
Antilocapra_americana,2.0,1.7,-,-,Herbivore,Browser-grazer,Terrestrial,-,Kelt & van Vuren 2001,-,Popowics et al. 1997
