"X","name","specie","esd","opt","type","group","source","kingdom","phylum","class","order","family","genus","tag"
106,"Clupea pallasii","Clupea pallasii",17126.7710401857,255.687021865958,"planktivorous","Fish","Barnes 2008","Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea","Fish - planktivorous"
107,"Clytemnestra rostrata","Clytemnestra rostrata",424.667067731039,424.667067731039,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Copepoda","Harpacticoida","Peltidiidae","Clytemnestra","Invertebrate - swimming predacious"
108,"Cochlodinium polykrikoides","Cochlodinium polykrikoides",25.8,5.6,"Dinoflagellates","Plankton","Garcia-Oliva 2022","Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Cochlodinium","Plankton - Dinoflagellates"
109,"Colomastix pusilla","Colomastix pusilla",1310.11213614931,15464.899488884,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Malacostraca","Amphipoda","Colomastigidae","Colomastix","Invertebrate - swimming predacious"
110,"Conchoecia antipoda","Conchoecia antipoda",943.665370360165,1637.73289129262,"swimming predacious","Invertebrate","Brose 2019","NA","NA","NA","NA","NA","NA","Invertebrate - swimming predacious"
111,"Conchoecia hettacra","Conchoecia hettacra",943.665370360165,1637.73289129262,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Ostracoda","Halocyprida","Halocyprididae","Conchoecia","Invertebrate - swimming predacious"
112,"Concholepas concholepas","Concholepas concholepas",1700,24.4948974278318,"Meroplankton","Invertebrate","Fuchs 2010","Animalia","Mollusca","Gastropoda","Neogastropoda","Muricidae","Concholepas","Invertebrate - Meroplankton"
113,"Concholepas concholepas","Concholepas concholepas",247,20,"Meroplankton","Invertebrate","Fuchs 2010","Animalia","Mollusca","Gastropoda","Neogastropoda","Muricidae","Concholepas","Invertebrate - Meroplankton"
114,"Corycaeus amazonicus","Corycaeus amazonicus",424.667067731039,424.667067731039,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Copepoda","Cyclopoida","Corycaeidae","Corycaeus","Invertebrate - swimming predacious"
115,"Corycaeus speciosus","Corycaeus speciosus",424.667067731039,424.667067731039,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Copepoda","Cyclopoida","Corycaeidae","Corycaeus","Invertebrate - swimming predacious"
116,"Corycaeus venustus","Corycaeus venustus",424.667067731039,424.667067731039,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Copepoda","Cyclopoida","Corycaeidae","Corycaeus","Invertebrate - swimming predacious"
117,"Crangon crangon","Crangon crangon",16289.4121108199,2281.22735315674,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Malacostraca","Decapoda","Crangonidae","Crangon","Invertebrate - swimming predacious"
118,"Crangonyx pseudogracilis","Crangonyx pseudogracilis",1610.59049516988,837.219953664176,"swimming predacious","Invertebrate","Brose 2019","NA","NA","NA","NA","NA","NA","Invertebrate - swimming predacious"
119,"Crassotrea virginica","Crassotrea virginica",274.59060435492,7.74596669241483,"Meroplankton","Invertebrate","Fuchs 2010","Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","Crassostrea","Invertebrate - Meroplankton"
120,"Crassotrea virginica","Crassotrea virginica",211.329127192633,4.24264068711929,"Meroplankton","Invertebrate","Fuchs 2010","Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","Crassostrea","Invertebrate - Meroplankton"
121,"Crassotrea virginica","Crassotrea virginica",114.647285183732,4,"Meroplankton","Invertebrate","Fuchs 2010","Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","Crassostrea","Invertebrate - Meroplankton"
122,"Cyanaea capilata","Cyanaea capilata",99297.5326984513,8944.27190999916,"tentacled","Jellyfish","Fuchs 2010","Animalia","Cnidaria","Scyphozoa","Semaeostomeae","Cyaneidae","Cyanea","Jellyfish - tentacled"
123,"Cyanea capillata","Cyanea capillata",10666.7091901272,1310.11510338598,"tentacled","Jellyfish","Brose 2019","Animalia","Cnidaria","Scyphozoa","Semaeostomeae","Cyaneidae","Cyanea","Jellyfish - tentacled"
124,"Cyclops bicuspidatus","Cyclops bicuspidatus",390.796320898386,410.049411747408,"swimming predacious","Invertebrate","Brose 2019","NA","NA","NA","NA","NA","NA","Invertebrate - swimming predacious"
125,"Cyclops scutifer","Cyclops scutifer",349.743618236094,151.757730259811,"swimming predacious","Invertebrate","Brose 2019","NA","NA","NA","NA","NA","NA","Invertebrate - swimming predacious"
126,"Cyclops varians rubellus","Cyclops varians",359.857369777155,70.0526594964442,"swimming predacious","Invertebrate","Brose 2019","NA","NA","NA","NA","NA","NA","Invertebrate - swimming predacious"
127,"Cyclops vernalis","Cyclops vernalis",349.743618236094,160.874035846574,"swimming predacious","Invertebrate","Brose 2019","NA","NA","NA","NA","NA","NA","Invertebrate - swimming predacious"
